hymn.verses.seer.divinity.meter
1.9.vaiśvāmitro madhucchandāḥ.agniḥ.gāyatrī
2.9.vaiśvāmitro madhucchandāḥ.(1-3)vāyuḥ,(4-6)indravāyū,(7-9)mitrāvaruṇau.gāyatrī
3.12.vaiśvāmitro madhucchandāḥ.(1-3)aśvinau,(4-6)indraḥ,(7-9)viśvedevāḥ,(10-12)sarasvatī.gāyatrī
4.10.vaiśvāmitro madhucchandāḥ.indraḥ.gāyatrī
5.10.vaiśvāmitro madhucchandāḥ.indraḥ.gāyatrī
6.10.vaiśvāmitro madhucchandāḥ.indraḥ.gāyatrī
7.10.vaiśvāmitro madhucchandāḥ.indraḥ.gāyatrī
8.10.vaiśvāmitro madhucchandāḥ.indraḥ.gāyatrī
9.10.vaiśvāmitro madhucchandāḥ.indraḥ.gāyatrī
10.12.vaiśvāmitro madhucchandāḥ.indraḥ.anuṣṭup
11.8.mādhucchandaso jetā.indraḥ.anuṣṭup
12.12.kāṇvo medhātithiḥ.agniḥ.gāyatrī
13.12.kāṇvo medhātithiḥ.(1-5,12)agniḥ,(6)devīrdvāraḥ,(7)uṣāsānaktā,(8)daivyau hotārau,(9)iḻā-sarasvatī-mahī,(10)tvaṣṭā,(11)vanaspatiḥ.gāyatrī
14.12.kāṇvo medhātithiḥ.viśvedevāḥ.gāyatrī
15.12.kāṇvo medhātithiḥ.(1)indraḥ,(2)marutaḥ,(3)tvaṣṭā,(4,7-10,12)agniḥ,(5)indraḥ,(6)mitrāvaruṇau,(11)aśvinau.gāyatrī
16.9.kāṇvo medhātithiḥ.indraḥ.gāyatrī
17.9.kāṇvo medhātithiḥ.indrāvaruṇau.gāyatrī
18.9.kāṇvo medhātithiḥ.brahmaṇaspatiḥ.gāyatrī
19.9.kāṇvo medhātithiḥ.agniḥ-marutaḥ.gāyatrī
20.8.kāṇvo medhātithiḥ.ṛbhavaḥ.gāyatrī
21.6.kāṇvo medhātithiḥ.indrāgnī.gāyatrī
22.21.kāṇvo medhātithiḥ.(1-4)aśvinau,(5-8)savitā,(9-10)agniḥ,(11)devyaḥ,(12)indrāṇī-varuṇānī-agnāyī,(13-14)dyāvāpṛthivyau,(15)pṛthivī,(16-21)viṣṇuḥ.gāyatrī
23.24.kāṇvo medhātithiḥ.(1)vāyuḥ,(2-3)indravāyū,(4-6)mitrāvaruṇau,(7-9)indraḥ-marutaḥ,(10-12)viśvedevāḥ,(13-15)pūṣā,(16-23)āpaḥ,(24)agniḥ.(1-18,21)gāyatrī,(19)uṣṇik,(20,22-24)anuṣṭup
24.15.ājīgartiḥ śunaḥśepaḥ.(1)kaḥ,(2)agniḥ,(3-5)savitā,(6-15)varuṇaḥ.(1-2,6-15)triṣṭup,(3-5)gāyatrī
25.21.ājīgartiḥ śunaḥśepaḥ.varuṇaḥ.gāyatrī
26.10.ājīgartiḥ śunaḥśepaḥ.agniḥ.gāyatrī
27.13.ājīgartiḥ śunaḥśepaḥ.(1-12)agniḥ,(13)devāḥ.(1-12)gāyatrī,(13)triṣṭup
28.9.ājīgartiḥ śunaḥśepaḥ.(1-4)indraḥ,(5-6)ulūkhalam,(7-8)ulūkhalamusale,(9)somaḥ.(1-6)anuṣṭup,(7-9)gāyatrī
29.7.ājīgartiḥ śunaḥśepaḥ.indraḥ.paṅktiḥ
30.22.ājīgartiḥ śunaḥśepaḥ.(1-16)indraḥ,(17-19)aśvinau,(20-22)uṣāḥ.(1-15,17-22)gāyatrī,(16)triṣṭup
31.18.āṅgiraso hiraṇyastūpaḥ.agniḥ.(1-7,9-15,17)jagatī,(8,16,18)triṣṭup
32.15.āṅgiraso hiraṇyastūpaḥ.indraḥ.triṣṭup
33.15.āṅgiraso hiraṇyastūpaḥ.indraḥ.triṣṭup
34.12.āṅgiraso hiraṇyastūpaḥ.aśvinau.(1-8,10-11)jagatī,(9,12)triṣṭup
35.11.āṅgiraso hiraṇyastūpaḥ.(1)agniḥ-mitrāvaruṇau-rātriḥ-savitā,(2-11)savitā.(1,9)jagatī,(2-8,10-11)triṣṭup
36.20.ghauraḥ kaṇvaḥ.agniḥ.bṛhatī
37.15.ghauraḥ kaṇvaḥ.marutaḥ.gāyatrī
38.15.ghauraḥ kaṇvaḥ.marutaḥ.gāyatrī
39.10.ghauraḥ kaṇvaḥ.marutaḥ.bṛhatī
40.8.ghauraḥ kaṇvaḥ.brahmaṇaspatiḥ.bṛhatī
41.9.ghauraḥ kaṇvaḥ.ādityāḥ.gāyatrī
42.10.ghauraḥ kaṇvaḥ.pūṣā.gāyatrī
43.9.ghauraḥ kaṇvaḥ.(1-6)rudraḥ,(7-9)somaḥ.(1-8)gāyatrī,(9)anuṣṭup
44.14.kāṇvaḥ praskaṇvaḥ.agniḥ.bṛhatī
45.10.kāṇvaḥ praskaṇvaḥ.agniḥ.anuṣṭup
46.15.kāṇvaḥ praskaṇvaḥ.aśvinau.gāyatrī
47.10.kāṇvaḥ praskaṇvaḥ.aśvinau.bṛhatī
48.16.kāṇvaḥ praskaṇvaḥ.uṣāḥ.bṛhatī
49.4.kāṇvaḥ praskaṇvaḥ.uṣāḥ.anuṣṭup
50.13.kāṇvaḥ praskaṇvaḥ.sūryaḥ.(1-9)gāyatrī,(10-13)anuṣṭup
51.15.āṅgirasaḥ savyaḥ.indraḥ.(1-13)jagatī,(14-15)triṣṭup
52.15.āṅgirasaḥ savyaḥ.indraḥ.(1-12,14)jagatī,(13,15)triṣṭup
53.11.āṅgirasaḥ savyaḥ.indraḥ.(1-9)jagatī,(10-11)triṣṭup
54.11.āṅgirasaḥ savyaḥ.indraḥ.(1-5,7,10)jagatī,(6,8-9,11)triṣṭup
55.8.āṅgirasaḥ savyaḥ.indraḥ.jagatī
56.6.āṅgirasaḥ savyaḥ.indraḥ.jagatī
57.6.āṅgirasaḥ savyaḥ.indraḥ.jagatī
58.9.gautamo nodhāḥ.agniḥ.(1-5)jagatī,(6-9)triṣṭup
59.7.gautamo nodhāḥ.agniḥ.triṣṭup
60.5.gautamo nodhāḥ.agniḥ.triṣṭup
61.16.gautamo nodhāḥ.indraḥ.triṣṭup
62.13.gautamo nodhāḥ.indraḥ.triṣṭup
63.9.gautamo nodhāḥ.indraḥ.triṣṭup
64.15.gautamo nodhāḥ.marutaḥ.(1-14)jagatī,(15)triṣṭup
65.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
66.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
67.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
68.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
69.10.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
70.11.śāktyaḥ parāśaraḥ.agniḥ.virāṭ
71.10.śāktyaḥ parāśaraḥ.agniḥ.triṣṭup
72.10.śāktyaḥ parāśaraḥ.agniḥ.triṣṭup
73.10.śāktyaḥ parāśaraḥ.agniḥ.triṣṭup
74.9.rāhūgaṇo gotamaḥ.agniḥ.gāyatrī
75.5.rāhūgaṇo gotamaḥ.agniḥ.gāyatrī
76.5.rāhūgaṇo gotamaḥ.agniḥ.triṣṭup
77.5.rāhūgaṇo gotamaḥ.agniḥ.triṣṭup
78.5.rāhūgaṇo gotamaḥ.agniḥ.gāyatrī
79.12.rāhūgaṇo gotamaḥ.agniḥ.(1-3)triṣṭup,(4-6)uṣṇik,(7-12)gāyatrī
80.16.rāhūgaṇo gotamaḥ.indraḥ.paṅktiḥ
81.9.rāhūgaṇo gotamaḥ.indraḥ.paṅktiḥ
82.6.rāhūgaṇo gotamaḥ.indraḥ.(1-5)paṅktiḥ,(6)jagatī
83.6.rāhūgaṇo gotamaḥ.indraḥ.jagatī
