mandala_sukta_rik	ashtaka_adhyaya_varga_rik	mandala_anuvaka_rik
01.001.01	1.1.01.01	01.01.001
01.001.02	1.1.01.02	01.01.002
01.001.03	1.1.01.03	01.01.003
01.001.04	1.1.01.04	01.01.004
01.001.05	1.1.01.05	01.01.005
01.001.06	1.1.02.01	01.01.006
01.001.07	1.1.02.02	01.01.007
01.001.08	1.1.02.03	01.01.008
01.001.09	1.1.02.04	01.01.009
01.002.01	1.1.03.01	01.01.010
01.002.02	1.1.03.02	01.01.011
01.002.03	1.1.03.03	01.01.012
01.002.04	1.1.03.04	01.01.013
01.002.05	1.1.03.05	01.01.014
01.002.06	1.1.04.01	01.01.015
01.002.07	1.1.04.02	01.01.016
01.002.08	1.1.04.03	01.01.017
01.002.09	1.1.04.04	01.01.018
01.003.01	1.1.05.01	01.01.019
01.003.02	1.1.05.02	01.01.020
01.003.03	1.1.05.03	01.01.021
01.003.04	1.1.05.04	01.01.022
01.003.05	1.1.05.05	01.01.023
01.003.06	1.1.05.06	01.01.024
01.003.07	1.1.06.01	01.01.025
01.003.08	1.1.06.02	01.01.026
01.003.09	1.1.06.03	01.01.027
01.003.10	1.1.06.04	01.01.028
01.003.11	1.1.06.05	01.01.029
01.003.12	1.1.06.06	01.01.030
01.004.01	1.1.07.01	01.02.001
01.004.02	1.1.07.02	01.02.002
01.004.03	1.1.07.03	01.02.003
01.004.04	1.1.07.04	01.02.004
01.004.05	1.1.07.05	01.02.005
01.004.06	1.1.08.01	01.02.006
01.004.07	1.1.08.02	01.02.007
01.004.08	1.1.08.03	01.02.008
01.004.09	1.1.08.04	01.02.009
01.004.10	1.1.08.05	01.02.010
01.005.01	1.1.09.01	01.02.011
01.005.02	1.1.09.02	01.02.012
01.005.03	1.1.09.03	01.02.013
01.005.04	1.1.09.04	01.02.014
01.005.05	1.1.09.05	01.02.015
01.005.06	1.1.10.01	01.02.016
01.005.07	1.1.10.02	01.02.017
01.005.08	1.1.10.03	01.02.018
01.005.09	1.1.10.04	01.02.019
01.005.10	1.1.10.05	01.02.020
01.006.01	1.1.11.01	01.02.021
01.006.02	1.1.11.02	01.02.022
01.006.03	1.1.11.03	01.02.023
01.006.04	1.1.11.04	01.02.024
01.006.05	1.1.11.05	01.02.025
01.006.06	1.1.12.01	01.02.026
01.006.07	1.1.12.02	01.02.027
01.006.08	1.1.12.03	01.02.028
01.006.09	1.1.12.04	01.02.029
01.006.10	1.1.12.05	01.02.030
01.007.01	1.1.13.01	01.02.031
01.007.02	1.1.13.02	01.02.032
01.007.03	1.1.13.03	01.02.033
01.007.04	1.1.13.04	01.02.034
01.007.05	1.1.13.05	01.02.035
01.007.06	1.1.14.01	01.02.036
01.007.07	1.1.14.02	01.02.037
